datadate,fyear,cik,sic2,gdwlip,at,ceq,invt,xint,cogs,sale,prcc_f,csho,act,rectr,lct,dt,ni,acqintan,am,intan,xrd,xad,acqppe
30apr1997,1996,770504,57,0,161.222,105.62,28.782,2.247,167.43,263.984,19.5,4.537,110.231,68.916,42.724,0,4.085,0,0,0,0,23.581,0
31jan1997,1996,72333,56,0,2702.507,1473.192,719.919,45.618,2925.915,4581.303,37.125,79.63500000000001,1532.399,693.123,787.377,0,147.505,0,0,0,0,0,0
31jan1997,1996,887124,56,0,1261.063,360.54,501.83,41.947,890.525,1603.115,51.625,35.793,722.006,100.718,230.332,0,81.008,0,9.561999999999999,345.357,0,45.2,0
28feb1997,1996,886158,57,0,329.925,214.361,187.185,0,468.571,823.178,26,68.60299999999999,227.555,0,105.876,0,55.015,0,0,0,0,12.3,0
31jan1997,1996,701985,56,0,4120.002,1922.582,1007.303,75.363,5858.569,8644.790999999999,17.125,271.071,1545.097,69.337,906.893,0,434.208,0,0,0,0,242,0
28feb1997,1996,84129,59,0,6416.981,2488.685,2336.659,98.37,4992.296,6970.201,42.125,122.81,2771.499,370.588,1172.01,0,115.377,0,0,1644.639,0,0,0
28feb1997,1996,886137,56,0,217.718,169.875,81.991,.242,224.174,332.002,21.5,25.942,155.984,4.849,43.905,0,18.813,0,0,0,0,4.95,0
31jan1997,1996,850209,56,0,3476,1334,1269,73,5581,8092,20.375,134.047,1823,129,856,0,169,0,0,163,0,0,0
31jan1997,1996,6885,56,0,509.283,92.26600000000001,187.717,45.954,518.3819999999999,776.55,17.375,23.284,335.162,0,99.943,0,-2.059,0,0,0,0,29.7,0
28feb1997,1996,46601,57,0,1837.158,642.621,433.277,47.8,842.268,1593.119,14.125,54.414,1134.057,380.879,583.92,0,40.185,0,0,294.09,0,0,0
31jan1997,1996,812446,56,0,100.967,44.342,48.371,1.897,193.318,298.986,3.25,10.436,61.891,0,48.722,0,-1.267,0,0,0,0,.987,0
31may1997,1996,879970,59,0,516.805,348.531,25.193,2.154,140.426,274.038,19.125,25.403,120.017,79.745,46.011,0,18.317,0,0,328.469,0,0,0
31jan1997,1996,723924,56,0,62.429,45.109,41.511,.546,71.79600000000001,130.222,10,5.066,44.741,.398,10.937,0,4.61,0,0,0,0,10.6,0
31jan1997,1996,,59,0,129.908,49.325,85.11,3.624,78.77,138.92,3.375,7.14,107.563,12.929,74.40600000000001,0,2.604,0,0,0,0,0,0
31jan1997,1996,879123,56,0,254.347,123.576,107.495,.762,599.0890000000001,819.056,20.5,16.165,161.953,0,117.937,0,17.151,0,0,0,0,0,0
31jan1997,1996,18498,56,0,221.654,45.846,95.884,10.289,266.526,461.348,8.75,24.706,178.157,27.429,69.36199999999999,0,10.404,0,0,4.75,0,13.1,0
31jan1997,1996,719798,59,0,176.897,84.455,110.036,1.115,233.847,287.737,9.875,5.389,141.583,7.962,84.515,0,-.86,0,0,0,0,0,0
31jan1997,1996,791182,56,0,65.858,31.295,22.373,2.332,141.529,189.098,2.625,7.563,51.863,21.973,22.623,0,2.337,0,0,0,0,1.2,0
31jan1997,1996,918111,56,0,375.834,218.556,133.323,.832,143.554,256.979,29.5,28.495,314.743,6.553,146.914,0,13.919,0,.18,3.113,0,17.72,0
31jan1997,1996,785962,56,0,93.27200000000001,-59.553,37.559,5.053,130.48,203.602,.11,17.9,43.462,1.595,46.819,0,-17.298,0,0,11.591,0,13,0
31jan1997,1996,43837,59,0,51.036,35.699,17.318,.075,34.616,59.41,3.25,7.58,31.403,0,14.584,0,-7.492,0,0,0,0,0,0
31jan1997,1996,875194,56,0,125.365,69.946,51.934,1.185,181.13,268.002,5.5,7.192,62.751,3.052,40.541,0,1.286,0,1.168,26.15,0,11.497,0
31jan1997,1996,1017712,56,0,44.033,39.069,4.937,.088,25.324,43.618,19.75,4.599,33.392,0,4.144,0,2.57,0,0,0,0,0,0
28feb1997,1996,1018005,56,0,61.974,37.187,25.279,.128,64.28400000000001,143.059,18.375,10.12,38.547,2.342,24.557,0,10.816,0,0,0,0,0,0
31may1997,1996,39047,58,0,111.26,64.68300000000001,3.658,2.373,137.626,165.931,14.625,7.148,6.882,1.037,15.699,0,1.187,0,0,.757,0,4.007,0
31jan1997,1996,745732,56,0,659.478,328.843,373.689,0,1194.136,1689.81,41,24.666,439.587,7.832,304.785,0,80.905,0,0,0,0,39,0
31jan1997,1996,98246,59,0,739.418,378.264,335.389,9.48,402.579,922.1079999999999,37.375,34.529,568.9829999999999,80.77200000000001,226.472,0,58.439,0,0,4.794,0,43.9,0
31jan1997,1996,910468,57,0,219.673,76.154,42.148,7.006,211.072,309.721,16.5,12.8,104.069,45.557,45.782,0,2.145,0,0,10.204,0,0,0
31mar1997,1996,935226,58,0,40.562,22.752,3.148,.904,70.477,85.20399999999999,7.25,6.064,11.57,.218,8.454000000000001,0,4.947,0,.061,1.141,0,0,0
28feb1997,1996,818008,59,0,138.549,114.326,30.48,.651,106.282,240.053,12.5,9.609999999999999,89.688,24.476,18.949,0,5.354,0,0,0,0,0,0
31jan1997,1996,881905,56,0,130.347,80.21299999999999,40.778,.413,279.438,363.074,3.125,12.19,67.709,1.297,30.768,0,-6.147,0,0,0,0,0,0
31jan1997,1996,899240,59,0,363.937,157.792,145.194,7.969,316.285,527.081,7.625,54.449,174.929,3.032,42.995,0,-.225,0,2.325,38.849,0,0,0
31jan1997,1996,874841,56,0,65.705,47.546,19.76,0,100.854,155.262,26.49998474,8.092000000000001,34.882,.584,13.192,0,7.412,0,.027,.797,0,0,0
31jan1997,1996,811696,59,0,78.804,28.449,27.365,.391,128.571,210.245,3.75,8.266999999999999,52.361,5.915,42.932,0,-4.345,0,0,0,0,25.736,0
31jan1997,1996,929470,59,0,754.27,310.317,279.577,4.934,879.38,1274.461,17.5,31.466,445.111,15.832,269.114,0,30.005,0,1.962,52.746,0,0,0
28feb1997,1996,33780,56,0,42.622,17.054,17.13,1.446,52.562,84.515,1,4.918,35.597,12.665,24.301,0,-4.724,0,0,0,0,7.737,0
31jan1997,1996,897506,59,0,96.624,45.498,56.906,1.776,95.795,135.775,4.875,4.527,64.746,5.948,26.608,0,-6.436,0,0,0,0,7.46,0
31mar1997,1996,101461,57,0,8.068,3.342,2.855,.088,10.999,18.109,.04,12.158,6.35,0,3.175,0,-1.162,0,0,0,0,0,0
28feb1997,1996,883943,56,0,34.637,15.573,9.254,.6840000000000001,65.44499999999999,95.946,8.375,4.433,22.54,.532,7.794,0,-.621,0,0,0,0,.793,0
31may1997,1996,68270,58,0,418.871,223.64,9.65,5.316,531.043,654.4640000000001,21.5,17.593,35.492,4.621,69.06399999999999,0,25.045,0,.734,20.396,0,0,0
28feb1997,1996,927760,57,0,112.104,33.573,69.934,1.846,146.149,209.778,3.875,8.536,78.333,1.957,33.67,0,-21.968,0,.258,7.789,0,0,0
31jan1997,1996,792570,56,0,382.521,71.989,146.045,13.056,513.227,897.492,6.875,13.892,272.359,14.772,90.236,0,-111.428,0,0,0,0,14.8,0
31jan1997,1996,945676,56,0,1135.162,402.053,434.8,32.544,1856.722,2997.34,17.75,252.498,656.976,18.75,323.681,0,258.21,0,0,76.53100000000001,0,0,0
31jan1997,1996,885546,56,0,95.39700000000001,15.255,28.637,.484,130.457,204.042,2.375,10.861,59.457,0,9.93,0,-5.811,0,0,0,0,11.066,0
31mar1997,1996,925544,59,0,79.741,37.522,43.109,2.208,92.30800000000001,166.885,25.25,5.274,54.092,2.233,13.443,0,7.538,0,0,2.197,0,0,0
31jan1997,1996,912615,56,0,89.675,75.69199999999999,16.965,0,74.44799999999999,156.414,12.125,17.529,50.864,2.827,11.625,0,13.26,0,0,0,0,0,0
28feb1997,1996,68145,58,0,19.312,3.3,.293,1.199,33.209,38.252,.43699994,17.766,3.807,.112,4.691,0,-4.055,0,.04,0,0,0,0
31jan1997,1996,798955,57,0,128.198,73.209,42.605,2.451,128.262,214.814,17.25,8.1,59.416,0,34.609,0,7.427,0,0,0,0,11.519,0
31jan1997,1996,897429,56,0,31.248,18.021,7.845,.404,24.816,64.07299999999999,4,7.884,11.204,.763,6.22,0,1.931,0,0,.475,0,0,0
31jan1997,1996,791731,59,0,4.49,1.171,2.785,.146,5.208,8.069000000000001,.031,3.741,3.101,.081,3.042,0,-2.831,0,0,0,0,0,0
31jan1997,1996,888455,59,0,280.348,184.624,68.498,1.788,356.061,500.036,24.375,18.61,120.618,7.212,66.828,0,-11.685,0,0,0,0,0,0
31mar1997,1996,1014343,58,0,5.303,4.956,.103,.789,1.745,.06,5.375,3.185,5.094,.009,.347,0,-2.409,0,0,0,0,0,0
28feb1997,1996,832922,59,0,243.319,49.567,187.949,7.882,662.253,859.856,5.375,13.153,206.531,14.525,130.229,0,1.152,0,.548,4.763,0,0,0
31jan1997,1996,813775,56,0,80.669,11.171,29.118,8.625,168.228,252.165,2,4.693,33.318,0,33.07,0,-37.39,0,1.966,34.314,0,8.632999999999999,0
31jan1997,1996,1004526,56,0,42.384,31.28,15.839,.043,66.935,88.104,27.99998474,6.736,39.889,.999,10.584,0,4.584,0,0,0,0,3.5,0
31mar1997,1996,877406,58,0,2.914,1.382,.121,.091,7.04,6.81,.18699998,10.004,.426,.036,1.41,0,-1.304,0,0,0,0,0,0
31jan1997,1996,18255,56,0,218.243,151.903,63.968,.262,344.919,491.509,4,28.455,161.46,43.192,56.087,0,7.029,0,0,0,0,8.898,0
31jan1997,1996,878731,59,0,421.273,22.505,222.445,31.301,330.3,685.274,14.75,7.559,264.44,15.362,186.824,0,11.757,0,3.143,95.26300000000001,0,43.747,0
31may1997,1996,875174,58,0,32.481,15.508,.192,.903,26.042,32.694,1,27.119,5.323,0,6.443,0,-.391,0,.455,7.128,0,0,0
31mar1997,1996,832320,59,0,175.52,100.047,49.087,0,324.988,360.715,4.5,17.591,162.285,13.917,75.035,0,-39.64,0,0,0,0,0,0
31jan1997,1996,40970,59,0,230.063,77.68000000000001,113.182,4.001,476.166,695.298,14.24999945,12.316,141.256,21.179,88.82899999999999,0,10.401,0,0,0,0,0,0
31jan1997,1996,817946,59,0,139.385,125.373,79.893,.999,186.572,243.079,2.18699932,25.894,110.84,6.162,14.012,0,.761,0,0,2.86,0,1,0
31jan1997,1996,769644,59,0,582.843,19.718,119.236,23.735,221.304,683.99,28.5,11.965,270.423,39.66,218.578,0,-28.315,0,0,139.308,0,33.63,0
31jan1997,1996,919628,58,0,401.217,214.804,9.223000000000001,9.877000000000001,473.79,614.08,20.87499677,33.219,72.857,5.982,83.89400000000001,0,22.302,0,0,24.363,0,28.291,0
31jan1997,1996,795212,59,0,310.053,101.362,163.509,10.767,308.952,481.657,6.875,9.768000000000001,232.934,8.826000000000001,151.687,0,7.102,0,0,0,0,0,0
31mar1997,1996,709197,57,0,6.17,.414,2.856,.088,11.004,18.109,.03,39.781,4.572,0,3.058,0,-.865,0,0,0,0,0,0
31jan1997,1996,812906,59,0,187.843,105.273,147.973,1.2,194.893,378.218,12.875,21.315,160.786,1.102,57.828,0,12.481,0,0,0,0,16.2,0
31jan1997,1996,890093,59,0,525.586,159.624,201.09,20.025,463.664,624.019,6.375,20.339,225.839,2.338,67.161,0,-30.544,0,.342,11.145,0,13.309,0
31jan1997,1996,813298,56,0,141.76,111.045,79.958,.197,203.364,289.593,6,15.592,96.31100000000001,.5580000000000001,23.991,0,6.264,0,0,3.078,0,0,0
28feb1997,1996,764478,57,0,1734.307,438.315,1132.059,50.338,6644.958,7770.683,9.25,43.287,1385.035,79.581,817.579,0,1.748,0,0,0,0,0,0
31jan1997,1996,1018840,56,0,105.761,11.238,34.943,4.919,199.847,335.372,13.75,51.05,44.878,2.102,43.59,0,24.674,0,0,0,0,4.1,0
31jan1997,1996,820756,59,0,415.348,227.715,108.724,8.444000000000001,307.085,575.418,13.875,27.303,206.146,21.872,64.029,0,21.47,0,0,85.54600000000001,0,4.5,0
31jan1997,1996,884217,56,0,295.478,159.129,164.14,3.383,282.618,483.547,26.625,20.921,208.304,0,71.467,0,21.143,0,0,0,0,31,0
31may1997,1996,875523,59,0,77.39100000000001,49.28,44.728,1.502,46.644,88.31399999999999,5.75,8.462,50.693,2.083,20.187,0,1.159,0,0,0,0,3.138,0
31jan1997,1996,71985,59,0,70.503,8.352,49.796,4.23,173.615,231.729,9,2.342,62.136,0,37.253,0,1.334,0,0,0,0,3.3,0
31jan1997,1996,919012,56,0,110.438,71.056,27.117,.027,227.648,326.404,9.24999905,9.917999999999999,73.76000000000001,3.556,39.382,0,5.925,0,0,0,0,8.500999999999999,0
31jan1997,1996,727089,58,0,6.458,.513,.219,.306,13.28,14.091,3.25,7.081,.701,.022,2.931,0,-1.586,0,0,1.076,0,0,0
31jan1997,1996,923408,59,0,137.382,113.763,43.617,.067,139.974,225.315,8.625,17.831,86.65900000000001,1.725,23.382,0,8.036,0,0,0,0,0,0
31jan1997,1996,1005414,59,0,8023.2,4190.6,2214.6,101.9,6892.5,9932.4,25,287.8,3159.6,0,2540.7,0,427.4,0,0,365,0,0,0
31jan1997,1996,96287,57,0,195.363,153.933,69.816,.138,222.7,336.303,4.625,37.998,144.7,0,35.06,0,-2.005,0,.027,.569,0,19.887,0
28feb1997,1996,104599,57,0,3008.256,1526.697,1310.103,29.575,5338.61,7153.562,31.25,98.178,1880.424,503.624,854.446,0,136.68,0,0,0,0,342.777,0
31jan1997,1996,863157,59,0,689.8099999999999,361.045,300.892,10.211,1046.48,1501.017,22.75,113.958,409.284,43.664,251.102,0,20.591,0,0,0,0,25.765,0
31jan1997,1996,1017480,59,0,40.358,26.512,24.521,2.642,60.017,86.401,16.25,6.134,30.126,2.097,13.846,0,1.737,0,0,0,0,0,0
31jan1997,1996,885566,59,0,78.34399999999999,54.156,20.529,.951,86.44199999999999,138.773,5.25,7.987,50.283,0,16.788,0,2.901,0,0,0,0,0,0
30apr1997,1996,944838,57,0,2.397,1.039,1.111,.083,.893,2.47,.21899998,3.939,1.16,0,1.358,0,-2.267,0,0,0,0,0,0
31jan1997,1996,892335,59,0,103.523,84.456,18.94,.321,47.398,92.465,9.5,7.069,52.962,2.633,16.647,0,-4.933,0,0,0,0,9.57,0
31may1997,1996,940944,58,0,1963.722,1081.213,132.241,23.336,2575.979,3171.81,8.375,146.042,337.369,16.333,480.58,0,-91.029,0,0,26.851,0,204.321,0
31jan1997,1996,109198,56,0,2561.212,977.186,1059.505,37.35,5071.953,6689.41,39.75,79.57599999999999,1662.342,57.275,1182.296,0,363.123,0,6.3,216.127,0,0,0
31jan1997,1996,727739,56,0,51.314,-23.397,9.292,.827,133.339,195.239,.21899998,14.198,35.191,0,21.039,0,-31.644,0,0,0,0,10.6,0
31jan1997,1996,924140,56,0,64.747,49.063,23.211,.026,85.191,128.388,28.125,8.584,48.592,1.284,14.259,0,7.991,0,0,0,0,0,0
31jan1997,1996,764762,59,0,879.649,553.586,356.933,0,2030.211,2828.338,24.25,38.968,451.374,0,286.509,0,58.612,0,0,0,0,22.5,0
28feb1997,1996,878130,59,0,1843.977,693.607,187.558,30.836,2369.01,3196.056,18.75,126.171,849.41,494.199,455.757,0,41.996,0,0,0,0,0,0
31jan1997,1996,912263,56,0,621.789,431.459,161.23,6.636,613.615,1031.722,28.25,32.916,311.803,97.274,127.361,0,63.621,0,6.128,131.827,0,58.037,0
31mar1997,1996,878748,59,0,75.233,43.372,5.481,2.774,13.603,30.453,5,8.41,24.189,6.202,9.042999999999999,0,2.322,0,2.117,42.024,.67,0,0
31mar1997,1996,912953,59,0,6.802,4.691,2.112,.103,9.342000000000001,18.424,5,3.404,3.289,.169,.968,0,.363,0,0,0,0,0,0
31jan1997,1996,,59,0,378.045,223.005,142.445,.51,595.61,1118.743,28.375,32.443,272.039,8.739000000000001,145.566,0,50.952,0,0,2.322,0,195.7,0
30apr1997,1996,870760,58,0,168.11,44.401,5.464,6.981,262.424,299.928,2.5,28.898,46.27,4.398,30.369,0,.5649999999999999,0,0,1.43,0,0,0
31jan1997,1996,891919,59,0,233.539,96.42,141.43,2.826,206.269,278.613,5.875,17.409,168.755,19.052,98.126,0,5.792,0,.04,1.581,0,0,0
31jan1997,1996,890491,59,0,1446.647,455.989,732.203,40.574,1569.448,2448.124,31.125,33.188,866.955,4.79,654.263,0,51.225,0,3.305,93.494,0,0,0
31jan1997,1996,879206,59,0,4.812,.955,1.749,.117,2.848,9.773999999999999,2.5,1.586,2.087,0,1.919,0,.355,0,0,.088,0,0,0
31jan1997,1996,911626,57,0,103.31,41.703,41.414,3.37,187.454,261.154,3,6.995,56.608,13.788,28.74,0,.785,0,0,0,0,5.485,0
31jan1997,1996,201424,58,0,16.945,13.171,.925,.048,5.656,17.299,.56199998,4.488,2.952,0,2.774,0,-1.913,0,.052,1.285,0,.455,0
31jan1997,1996,798186,57,0,272.333,150.408,100.442,5.003,304.997,441.243,3.93699932,17.155,172.843,5.561,20.889,0,3.343,0,0,0,0,0,0
31mar1997,1996,1548621,58,0,259.907,95.79300000000001,2.577,5.455,226.817,295.285,10.625,24.635,13.751,2.151,29.156,0,17.811,0,0,110.546,0,14.341,0
31mar1997,1996,920528,58,0,11.018,5.069,.314,.662,12.094,14.809,.43699993,13.744,2.102,.592,4.959,0,-5.326,0,0,4.041,0,.165,0
31may1997,1996,1007783,58,0,84.02800000000001,39.944,2.412,.14,217.559,249.637,5,9.023,13.47,.321,30.453,0,2.732,0,0,.923,0,0,0
31may1997,1996,,58,0,57.607,5.628,2.686,1.494,179.088,221.011,16.25,12.165,30.643,16.387,26.752,0,10.286,0,0,4.582,0,0,0
31may1997,1996,8734,58,0,7.316,.511,.548,.413,19.317,22.771,1.43699932,1.586,3.184,1.698,5.169,0,-.897,0,0,.206,0,0,0
31mar1997,1996,904535,57,0,55.02,16.066,37.511,1.731,62.333,99.43899999999999,1.75,4.845,41.708,0,17.743,0,-1.101,0,0,1.099,0,2.011,0
31jan1997,1996,31575,56,0,633.8,-2.1,210.7,2.4,794.9,1090.4,1.875,22.202,425.4,0,108.7,0,-143.2,0,5.9,0,0,0,0
31jan1997,1996,874214,56,0,688.139,370.582,100.237,24.416,417.235,807.141,17.25,25.587,196.52,63.605,77.67,0,8.667,0,10.086,341.779,0,0,0
31jan1997,1996,890572,59,0,266.597,73.919,162.913,8.909000000000001,389.552,514.611,2.75,12.844,193.702,0,184.501,0,-27.059,0,0,0,0,21.577,0
31jan1997,1996,818682,56,0,59.608,36.035,28.544,.318,69.54000000000001,109.121,12.99999904,5.714,38.915,5.476,10.899,0,3.528,0,0,0,0,8.000999999999999,0
31mar1998,1997,892907,59,0,48.718,31.521,27.811,.176,97.312,143.014,5,6.525,35.207,.41,17.006,0,3.227,0,0,0,0,2.787,0
31dec1997,1997,1035374,58,0,23.224,21.665,.397,.395,11.429,16.163,4.56199932,10.415,5.826,0,1.247,0,.98,0,.21,4.638,0,.18,0
31dec1997,1997,1013488,58,0,17.842,11.808,.361,.125,7.732,26.191,1.5,6.408,3.075,.162,2.843,0,-.315,0,.16,5.517,0,.762,0
31dec1997,1997,911220,58,0,7.094,1.955,.232,2.757,8.765000000000001,6.279,.03,78.727,1.641,0,1.993,0,-17.246,0,0,0,0,.402,0
31jan1998,1997,945676,56,0,1347.7,560.795,417.703,30.326,2151.627,3617.856,25.31199646,252.597,876.059,34.639,412.936,0,288.936,0,3.11,73.42100000000001,0,0,0
31jan1998,1997,45791,56,0,91.298,66.004,31.94,0,130.589,209.236,8.625,11.256,54.743,0,20.347,0,9.728,0,0,0,0,0,0
31jan1998,1997,96287,57,0,195.462,158.238,85.861,0,220.068,332.577,4.56199932,38.114,149.113,0,30.417,0,4.45,0,.029,.54,0,20.096,0
31jan1998,1997,887124,56,0,1391.539,438.848,543.503,54.014,1033.277,1865.318,25.68699646,35.819,799.131,40.715,209.754,0,78.131,0,9.648,370.88,0,57.7,0
30jun1997,1997,793971,57,0,46.55,16.298,27.789,1.556,102.577,155.623,2.125,3.729,32.515,.388,24.724,0,-.871,0,.024,.147,0,4.086,0
31jan1998,1997,811696,59,0,78.66200000000001,29.156,34.534,.5639999999999999,135.105,216.815,4.06199932,8.356,54.635,8.189,43.002,0,.593,0,0,0,0,22.795,0
31jan1998,1997,885566,59,0,79.337,55.802,23.184,.625,94.824,149.239,4.375,8.071999999999999,48.267,0,18.586,0,1.368,0,0,0,0,0,0
31dec1997,1997,1002178,58,0,79.521,66.991,0,.297,8.199999999999999,27.969,14.625,7.334,50.301,6.864,7.738,0,4.449,0,0,0,0,0,0
31dec1997,1997,892872,59,-41.907,619.3440000000001,348.789,170.543,1.769,1757.562,2125.698,13.93699932,34.639,533.004,217.475,270.477,0,-36.681,0,0,45.744,0,0,0
31mar1998,1997,1014343,58,0,3.999,3.604,.398,.006,.313,.519,.75,3.185,3.819,.069,.355,0,-1.352,0,0,0,.543,.13,0
31dec1997,1997,353230,59,0,1289.629,774.196,87.18600000000001,4.82,610.873,895.702,31,82.15300000000001,471.964,225.774,128.11,0,55.705,0,0,693.0069999999999,0,0,0
31dec1997,1997,1021270,58,0,46.021,37.108,.471,.151,14.866,18.202,8.93699932,8.667,19.842,0,7.523,0,-4.575,0,0,0,0,0,0
31dec1997,1997,1427553,57,0,132.624,28.776,78.898,8.928000000000001,211.197,296.655,23,19.338,97.77500000000001,7.896,36.164,0,16.341,0,0,4.094,0,7.527,0
